0.003218	0.003152	0.002893	0.003538	0.002882	0.002526	0.002994	0.002781	0.003411	0.003208	
0.004464	0.004594	0.005174	0.005095	0.004999	0.004367	0.004566	0.004868	0.005168	0.004586	
0.006429	0.006076	0.005478	0.006693	0.006507	0.006199	0.006392	0.007242	0.006818	0.006293	
0.006964	0.008584	0.008074	0.007981	0.008348	0.007592	0.008316	0.007642	0.008860	0.006702	
0.006107	0.008667	0.009541	0.008836	0.006700	0.009836	0.008797	0.007982	0.008433	0.007091	
0.010391	0.010950	0.011527	0.008354	0.010556	0.010116	0.008089	0.008460	0.010248	0.012438	
0.012838	0.013808	0.012388	0.012182	0.008941	0.012555	0.012272	0.013716	0.011308	0.009120	
0.017644	0.011773	0.014918	0.013543	0.012509	0.013847	0.011581	0.011223	0.013329	0.013786	
0.016274	0.016608	0.013008	0.016426	0.016313	0.015083	0.016114	0.013820	0.010595	0.013386	
0.014474	0.013566	0.016553	0.017788	0.015421	0.017138	0.014880	0.014919	0.017028	0.015713	
0.014641	0.017903	0.018367	0.017617	0.013845	0.018034	0.020157	0.019015	0.016789	0.016291	
0.021073	0.017036	0.019344	0.019774	0.021586	0.014453	0.015235	0.019740	0.022309	0.019044	
0.017942	0.022160	0.021812	0.015465	0.021771	0.015135	0.016171	0.021703	0.019168	0.021125	
0.021553	0.021965	0.022128	0.023398	0.022492	0.023617	0.018631	0.023273	0.019821	0.023601	
0.026055	0.023989	0.025785	0.025352	0.024870	0.019728	0.024846	0.021985	0.027107	0.026161	
0.027201	0.028564	0.024600	0.026612	0.026537	0.025474	0.019926	0.021228	0.028063	0.027828	
0.029706	0.028090	0.020428	0.028943	0.027271	0.029092	0.028004	0.027542	0.028199	0.031067	
0.028614	0.030628	0.029033	0.030218	0.031543	0.023314	0.023490	0.031229	0.029711	0.034110	
0.031690	0.033716	0.022727	0.028091	0.028292	0.030137	0.028568	0.029904	0.027246	0.033204	
0.031386	0.024698	0.030977	0.030563	0.023071	0.028679	0.029952	0.030992	0.031898	0.029317	
0.030627	0.034800	0.031248	0.032560	0.029825	0.024845	0.032875	0.031484	0.034150	0.032993	
